,streetAddress,city,county,zipcode,state,price,homeType,timeOnZillow,zestimate,rentZestimate,livingArea,bedrooms,bathrooms,yearBuilt,description,priceHistory,taxHistory,zpid
0,4621 Hoste Way Ln,Charlotte,,28216,NC,360000,SINGLE_FAMILY,5 days,425000.0,2128.0,2521,4,3,2001,"Are you looking for a spacious home in a hot neighborhood? Is a gas stove on your wish list? This one has it!  Fireplace? It has that too! Beautiful bay window, double doors on the primary suite, arched doorways, dead end street and curb appeal to add to the charm of this home! This is one you do not want to miss! Don't forget to check out the amazing, private and fenced backyard!","[{'priceChangeRate': 0.38462071007965, 'date': '2022-05-18', 'source': 'Canopy MLS as distributed by MLS GRID', 'postingIsRental': False, 'time': 1652832000000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Canopy MLS as distributed by MLS GRID', 'infoString3': 'https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_logo_inf_11.jpg', 'infoString1': '3862585'}, 'pricePerSquareFoot': 143, 'buyerAgent': None, 'event': 'Listed for sale', 'price': 360000}, {'priceChangeRate': 0, 'date': '2017-04-24', 'source': '--', 'postingIsRental': False, 'time': 1492992000000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': None, 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 103, 'buyerAgent': None, 'event': 'Listing removed', 'price': 259999}, {'priceChangeRate': 0.019607920031059, 'date': '2017-02-12', 'source': 'Owner', 'postingIsRental': False, 'time': 1486857600000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Owner', 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 103, 'buyerAgent': None, 'event': 'Price change', 'price': 259999}, {'priceChangeRate': 0.30768717948718, 'date': '2017-02-12', 'source': 'Owner', 'postingIsRental': False, 'time': 1486857600000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Owner', 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 101, 'buyerAgent': None, 'event': 'Listed for sale', 'price': 254999}, {'priceChangeRate': 0.12068965517241, 'date': '2006-06-20', 'source': 'Public Record', 'postingIsRental': False, 'time': 1150761600000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Public Record', 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 77, 'buyerAgent': None, 'event': 'Sold', 'price': 195000}, {'priceChangeRate': 0, 'date': '2001-04-18', 'source': 'Public Record', 'postingIsRental': False, 'time': 987552000000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Public Record', 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 69, 'buyerAgent': None, 'event': 'Sold', 'price': 174000}]","[{'time': 1621833645744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0.0030289507, 'taxPaid': 2437.28, 'value': 240700}, {'time': 1590297645744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0.0064613856, 'taxPaid': 2429.92, 'value': 240700}, {'time': 1558675245744, 'valueIncreaseRate': 0.48580247, 'taxIncreaseRate': 0.09800211, 'taxPaid': 2414.32, 'value': 240700}, {'time': 1527139245744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0.022511955, 'taxPaid': 2198.83, 'value': 162000}, {'time': 1495603245744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': 2150.42, 'value': 162000}, {'time': 1464067245744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': 2150.42, 'value': 162000}, {'time': 1432444845744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0.0035935405, 'taxPaid': 2150.42, 'value': 162000}, {'time': 1400908845744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': 2142.72, 'value': 162000}, {'time': 1369372845744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 162000}, {'time': 1337836845744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 162000}, {'time': 1306214445744, 'valueIncreaseRate': -0.081111744, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 162000}, {'time': 1274678445744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 176300}, {'time': 1243142445744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 176300}, {'time': 1211606445744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 176300}, {'time': 1179984045744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 176300}, {'time': 1148448045744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 176300}, {'time': 1116912045744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 176300}, {'time': 1085376045744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 176300}, {'time': 1053753645744, 'valueIncreaseRate': 0.05109402, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 176300}, {'time': 1022217645744, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 167730}]",64999714
1,425 Heflin St,Charlotte,,28205,NC,300000,SINGLE_FAMILY,3 days,381000.0,1349.0,1454,3,2,2019,"Looking for quality const?You have found it in this home!This is a JCB Urban well built home with lots of custom builder features.You will see the difference.Like new arts and crafts style home built by a custom builder in a historic Charlotte neighborhood.Large front and back covered porches perfect for entertaining.Private fenced in backyard with storage.Quick access to Uptown in one direction.Easy access to Charlotte restaurants and night life.Walking distances to Mint Museum,Briar Creek Greenway,coffee shops,restaurants and local brewery.Open floorplan with smooth,high ceilings.Craftsman details including trim work on baseboards and windows throughout entire home.Molding in main area.Kitchen has granite countertops, stainless steal appliances, great size pantry and island.Main BR with walk-in closet and in suite bath.Pull down attic stairs with tons of floored storage space. Beautiful site finished walnut stained hard wood floors in main area. Custom fit 2 1/2 in blinds throughout.","[{'priceChangeRate': 3.1758241758242, 'date': '2019-08-12', 'source': 'Public Record', 'postingIsRental': False, 'time': 1565568000000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Public Record', 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 131, 'buyerAgent': None, 'event': 'Sold', 'price': 190000}, {'priceChangeRate': 0, 'date': '2019-01-25', 'source': 'Public Record', 'postingIsRental': False, 'time': 1548374400000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Public Record', 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 31, 'buyerAgent': None, 'event': 'Sold', 'price': 45500}]","[{'time': 1621833853375, 'valueIncreaseRate': 2.4272728, 'taxIncreaseRate': 0, 'taxPaid': 1933.55, 'value': 188500}, {'time': 1590297853375, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 55000}, {'time': 1558675453375, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': 530.76, 'value': 55000}]",299908304
2,7230 Ridge Lane Rd,Charlotte,,28262,NC,350000,SINGLE_FAMILY,5 hours,332700.0,1794.0,1729,3,2,1983,"Hard to find 1 story with basement, on a cul-de-sac, situated on 1 acre.  A peaceful & private sanctuary, minutes from Charlotte. Rippling creek. Experience deer, hummingbirds, cardinals and owls, surrounded by a forest of hardwoods, dogwoods, camelia, jonquil and hydrangea. Charming kitchen with tumbled tile counters & backsplash, Frigidaire Professional stainless steel 5-burner gas range & gas oven; spacious breakfast area; a lovely living room & a newly added family room in 2017 – charming & comfortable. Relax and enjoy a beverage in the comfort of the screened porch.  Owner's suite features a spacious bedroom, tumbled tile counter in the bathroom & a walk-in closet.  And let’s not forget the basement – featuring the laundry, storage & workshop area. Well maintained! New roof 2017. New Hardi-plank siding 2017. New HVAC 2010. Septic pumping scheduled for June 8th. Generac instant backup power generator.  3 BRs, 2 BAs, 1,732 sf, 2 car carport.","[{'priceChangeRate': 1.5773195876289, 'date': '2022-05-23', 'source': 'Canopy MLS as distributed by MLS GRID', 'postingIsRental': False, 'time': 1653264000000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Canopy MLS as distributed by MLS GRID', 'infoString3': 'https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_logo_inf_11.jpg', 'infoString1': '3745162'}, 'pricePerSquareFoot': 202, 'buyerAgent': None, 'event': 'Listed for sale', 'price': 350000}, {'priceChangeRate': 0.052713178294574, 'date': '2016-05-18', 'source': 'Canopy MLS as distributed by MLS GRID', 'postingIsRental': False, 'time': 1463529600000, 'sellerAgent': {'name': 'Kathi Shea', 'photo': {'url': 'https://photos.zillowstatic.com/h_e/ISijiukodyi2en1000000000.jpg'}, 'profileUrl': '/profile/Kathi-Shea/'}, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Canopy MLS as distributed by MLS GRID', 'infoString3': 'https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_logo_inf_11.jpg', 'infoString1': '3169632'}, 'pricePerSquareFoot': 79, 'buyerAgent': {'name': 'Stacy Johnson', 'photo': {'url': 'https://photos.zillowstatic.com/h_e/ISa9p6c34mq8vu1000000000.jpg'}, 'profileUrl': '/profile/stacyjohnsonbelmont/'}, 'event': 'Sold', 'price': 135800}, {'priceChangeRate': -0.0076923076923077, 'date': '2016-04-23', 'source': 'Keller Williams - Charlotte - South Park', 'postingIsRental': False, 'time': 1461369600000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Keller Williams - Charlotte - South Park', 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 75, 'buyerAgent': None, 'event': 'Listed for sale', 'price': 129000}, {'priceChangeRate': 0.18181818181818, 'date': '2004-12-30', 'source': 'Public Record', 'postingIsRental': False, 'time': 1104364800000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Public Record', 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 75, 'buyerAgent': None, 'event': 'Sold', 'price': 130000}, {'priceChangeRate': 0, 'date': '1998-04-15', 'source': 'Public Record', 'postingIsRental': False, 'time': 892598400000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Public Record', 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 64, 'buyerAgent': None, 'event': 'Sold', 'price': 110000}]","[{'time': 1621833855711, 'valueIncreaseRate': 0.0030066145, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 166800}, {'time': 1590297855711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 166300}, {'time': 1558675455711, 'valueIncreaseRate': 0.47953737, 'taxIncreaseRate': 0, 'taxPaid': 1696.35, 'value': 166300}, {'time': 1527139455711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 112400}, {'time': 1495603455711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': 1508.41, 'value': 112400}, {'time': 1464067455711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': 1508.41, 'value': 112400}, {'time': 1432445055711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0.0018197814, 'taxPaid': 1508.41, 'value': 112400}, {'time': 1400909055711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': 1505.67, 'value': None}, {'time': 1369373055711, 'valueIncreaseRate': -0.012302285, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 112400}, {'time': 1337837055711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 113800}, {'time': 1306214655711, 'valueIncreaseRate': 0.053703703, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 113800}, {'time': 1274678655711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 108000}, {'time': 1243142655711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 108000}, {'time': 1211606655711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 108000}, {'time': 1179984255711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 108000}, {'time': 1148448255711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 108000}, {'time': 1116912255711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 108000}, {'time': 1085376255711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 108000}, {'time': 1053753855711, 'valueIncreaseRate': 0.13266912, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 108000}, {'time': 1022217855711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 95350}, {'time': 990681855711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 95350}, {'time': 959145855711, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 95350}]",6161650
3,2926 Royal Fern Ln,Charlotte,,28215,NC,369900,SINGLE_FAMILY,3 days,461700.0,2956.0,4140,5,4,2007,Very hard to find 5 bedroom 3.5 bath home in the desirable Herons Pond Subdivision!!! This home boasts a very large open floorplan with plenty of room to entertain. You enter to find 2 office/dining/flex spaces as well as the spacious living room and kitchen and a half bath on the main level. Venture upstairs to discover the palatial loft area central to the 5 bedrooms and 3 baths. Home will need paint and flooring throughout and this is reflected in the price. Schedule your showing now so you don't miss this one.,"[{'priceChangeRate': 0.6737556561086, 'date': '2022-05-20', 'source': 'Canopy MLS as distributed by MLS GRID', 'postingIsRental': False, 'time': 1653004800000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Canopy MLS as distributed by MLS GRID', 'infoString3': 'https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_logo_inf_11.jpg', 'infoString1': '3863693'}, 'pricePerSquareFoot': 89, 'buyerAgent': None, 'event': 'Listed for sale', 'price': 369900}, {'priceChangeRate': 0.0091324200913242, 'date': '2007-05-31', 'source': 'Public Record', 'postingIsRental': False, 'time': 1180569600000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Public Record', 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 53, 'buyerAgent': None, 'event': 'Sold', 'price': 221000}, {'priceChangeRate': 0, 'date': '2007-01-18', 'source': 'Public Record', 'postingIsRental': False, 'time': 1169078400000, 'sellerAgent': None, 'showCountyLink': False, 'attributeSource': {'infoString2': 'Public Record', 'infoString3': None, 'infoString1': None}, 'pricePerSquareFoot': 53, 'buyerAgent': None, 'event': 'Sold', 'price': 219000}]","[{'time': 1621833858053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 272800}, {'time': 1590297858053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 272800}, {'time': 1558675458053, 'valueIncreaseRate': 0.31851137, 'taxIncreaseRate': 0, 'taxPaid': 2724.08, 'value': 272800}, {'time': 1527139458053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 206900}, {'time': 1495603458053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 206900}, {'time': 1464067458053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 206900}, {'time': 1432445058053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 206900}, {'time': 1400909058053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': 2719.42, 'value': 206900}, {'time': 1369373058053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 206900}, {'time': 1337837058053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 206900}, {'time': 1306214658053, 'valueIncreaseRate': -0.05740319, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 206900}, {'time': 1274678658053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 219500}, {'time': 1243142658053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': 219500}, {'time': 1211606658053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': None}, {'time': 1179984258053, 'valueIncreaseRate': 0, 'taxIncreaseRate': 0, 'taxPaid': None, 'value': None}]",80448507
